学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
贵州师范大学,普通本科,--,--,--,--,--,--
北京师范大学珠海分校,独立学院,576.00,567.40,564.00,79493,588,平行录取一段
北京师范大学珠海分校,独立学院,--,--,564.00,79493,490,平行录取二段
内蒙古师范大学,普通本科,--,--,--,--,--,--
贵州财经大学,普通本科,--,--,--,--,--,--
黔南民族师范学院,普通本科,558.00,556.50,555.00,89385,490,平行录取二段
遵义师范学院,普通本科,--,--,--,--,--,--
徐州工程学院,普通本科,571.00,--,557.00,87261,490,平行录取二段
南宁师范大学,普通本科,--,--,549.00,95883,490,平行录取二段
哈尔滨师范大学,普通本科,594.00,587.00,583.00,58692,588,平行录取一段
哈尔滨师范大学,普通本科,--,--,583.00,58692,490,平行录取二段
鲁东大学,普通本科,586.00,--,556.00,88305,490,平行录取二段
湖南大学,普通本科,--,--,639.00,11580,588,平行录取一段
中央民族大学,普通本科,--,--,637.00,12607,588,平行录取一段
北京城市学院,普通本科,--,--,536.00,109773,490,平行录取二段
北京师范大学,普通本科,--,--,656.00,4911,588,平行录取一段
河北大学,普通本科,612.00,594.00,588.00,53141,588,平行录取一段
河北大学,普通本科,--,--,584.00,57599,490,平行录取二段
湖南师范大学,普通本科,645.00,--,619.00,24442,588,平行录取一段
内江师范学院,普通本科,562.00,--,550.00,94794,490,平行录取二段
天津大学,普通本科,666.00,653.00,650.00,6869,588,平行录取一段
乐山师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
郑州大学,普通本科,644.00,--,619.00,24442,588,平行录取一段
新疆大学,普通本科,588.00,554.00,520.00,126743,588,平行录取一段
新疆大学,普通本科,582.00,538.00,495.00,152160,490,平行录取二段
首都师范大学,普通本科,--,--,620.00,23678,588,平行录取一段
天津师范大学,普通本科,618.00,--,590.00,51042,588,平行录取一段
天津师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
河北师范大学,普通本科,604.00,--,588.00,53141,588,平行录取一段
河北师范大学,普通本科,--,--,579.00,63129,490,平行录取二段
天津职业技术师范大学,普通本科,--,--,554.00,90427,490,平行录取二段
邢台学院,普通本科,--,--,550.00,94794,490,平行录取二段
华南师范大学,普通本科,--,--,628.00,17973,588,平行录取一段
兰州大学,普通本科,641.00,633.83,629.00,17343,588,平行录取一段
中央司法警官学院,普通本科,--,--,--,--,--,--
山东师范大学,普通本科,618.00,596.00,588.00,53141,588,平行录取一段
山东师范大学,普通本科,--,--,582.00,59826,490,平行录取二段
唐山师范学院,普通本科,--,--,--,--,--,--
廊坊师范学院,普通本科,572.00,--,550.00,94794,490,平行录取二段
浙江大学,普通本科,--,--,658.00,4345,588,平行录取一段
南京师范大学,普通本科,--,--,635.00,13683,588,平行录取一段
石家庄学院,普通本科,--,--,--,--,--,--
邯郸学院,普通本科,--,--,551.00,93653,490,平行录取二段
邯郸学院,普通本科,--,--,562.00,81741,344,平行录取三段
苏州大学,普通本科,658.00,645.80,615.00,27648,588,平行录取一段
华中科技大学,普通本科,--,--,646.00,8376,588,平行录取一段
东北师范大学,普通本科,647.00,--,589.00,52072,588,平行录取一段
江苏理工学院,普通本科,--,--,588.00,53141,588,平行录取一段
江苏理工学院,普通本科,--,--,557.00,87261,490,平行录取二段
江苏师范大学,普通本科,618.00,--,565.00,78326,588,平行录取一段
江苏师范大学,普通本科,579.00,--,568.00,75133,490,平行录取二段
扬州大学,普通本科,616.00,--,595.00,45903,588,平行录取一段
重庆师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
重庆师范大学,普通本科,--,--,572.00,70694,490,平行录取二段
重庆师范大学,普通本科,--,--,576.00,66295,344,平行录取三段
赣南师范大学,普通本科,--,--,590.00,51042,588,平行录取一段
赣南师范大学,普通本科,--,--,560.00,83957,490,平行录取二段
四川外国语大学,普通本科,--,--,588.00,53141,588,平行录取一段
四川外国语大学,普通本科,--,--,587.00,54216,490,平行录取二段
石河子大学,普通本科,614.00,596.00,588.00,53141,588,平行录取一段
石河子大学,普通本科,--,--,579.00,63129,490,平行录取二段
西安欧亚学院,普通本科,534.00,512.00,503.00,144191,490,平行录取二段
西安欧亚学院,普通本科,499.00,450.00,396.00,219423,344,平行录取三段
沈阳师范大学,普通本科,--,--,553.00,91440,490,平行录取二段
辽宁师范大学,普通本科,--,--,571.00,71762,490,平行录取二段
新疆师范大学,普通本科,566.00,554.00,543.00,102323,490,平行录取二段
喀什大学,普通本科,--,--,--,--,--,--
三明学院,普通本科,564.00,--,553.00,91440,490,平行录取二段
宁波大学,普通本科,--,--,595.00,45903,588,平行录取一段
浙江师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
浙江师范大学,普通本科,--,--,587.00,54216,490,平行录取二段
首都师范大学继续教育学院,其他,--,--,--,--,--,--
陕西学前师范学院,普通本科,--,--,--,--,--,--
山西大学,普通本科,628.00,--,588.00,53141,588,平行录取一段
山西大学,普通本科,--,--,585.00,56498,490,平行录取二段
四川师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
四川师范大学,普通本科,--,--,576.00,66295,490,平行录取二段
西华师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
西华师范大学,普通本科,--,--,573.00,69596,490,平行录取二段
合肥师范学院,普通本科,--,--,--,--,--,--
山西师范大学,普通本科,--,--,589.00,52072,588,平行录取一段
山西师范大学,普通本科,--,--,557.00,87261,490,平行录取二段
忻州师范学院,普通本科,--,--,--,--,--,--
太原师范学院,普通本科,576.00,564.00,552.00,92541,490,平行录取二段
广东外语外贸大学,普通本科,655.00,636.60,623.00,21388,588,平行录取一段
安徽师范大学,普通本科,615.00,--,588.00,53141,588,平行录取一段
安徽师范大学,普通本科,--,--,582.00,59826,490,平行录取二段
安徽师范大学,普通本科,--,--,563.00,80624,344,平行录取三段
河南师范大学,普通本科,--,--,597.00,43871,588,平行录取一段
河南师范大学,普通本科,601.00,--,553.00,91440,490,平行录取二段
上海杉达学院,普通本科,--,--,490.00,156885,490,平行录取二段
上海杉达学院,普通本科,--,--,344.00,234340,344,平行录取三段
湖北第二师范学院,普通本科,580.00,572.00,563.00,80624,490,平行录取二段
陕西师范大学,普通本科,635.00,634.50,627.00,18652,588,平行录取一段
延安大学,普通本科,--,--,588.00,53141,588,平行录取一段
延安大学,普通本科,588.00,568.00,553.00,91440,490,平行录取二段
云南师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
云南师范大学,普通本科,605.00,--,562.00,81741,490,平行录取二段
西安思源学院,普通本科,--,--,490.00,156885,490,平行录取二段
西安思源学院,普通本科,--,--,344.00,234340,344,平行录取三段
信阳师范学院,普通本科,553.00,--,552.00,92541,490,平行录取二段
西藏大学,普通本科,--,--,--,--,--,--
安阳师范学院,普通本科,606.00,561.00,553.00,91440,588,平行录取一段
安阳师范学院,普通本科,--,--,553.00,91440,490,平行录取二段
渭南师范学院,普通本科,559.00,550.00,541.00,104530,490,平行录取二段
宝鸡文理学院,普通本科,561.00,551.80,546.00,99147,490,平行录取二段
长春师范大学,普通本科,--,--,550.00,94794,490,平行录取二段
湖南科技大学,普通本科,604.00,596.00,588.00,53141,588,平行录取一段
湖南科技大学,普通本科,587.00,579.00,571.00,71762,490,平行录取二段
赣南师范大学科技学院,独立学院,--,--,--,--,--,--
吉林师范大学,普通本科,579.00,--,558.00,86164,588,平行录取一段
吉林师范大学,普通本科,565.00,--,556.00,88305,490,平行录取二段
湖南农业大学,普通本科,--,--,588.00,53141,588,平行录取一段
湖南农业大学,普通本科,--,--,566.00,77285,490,平行录取二段
吉林工程技术师范学院,普通本科,550.00,--,548.00,96962,490,平行录取二段
通化师范学院,普通本科,--,--,547.00,98072,490,平行录取二段
晋中学院,普通本科,--,--,--,--,--,--
吉林外国语大学,普通本科,572.00,--,502.00,145196,490,平行录取二段
华中师范大学,普通本科,653.00,644.17,638.00,12067,588,平行录取一段
黑龙江大学,普通本科,--,--,588.00,53141,588,平行录取一段
黑龙江大学,普通本科,--,--,579.00,63129,490,平行录取二段
西南大学,普通本科,--,--,614.00,28475,588,平行录取一段
中南民族大学,普通本科,--,--,588.00,53141,588,平行录取一段
中南民族大学,普通本科,--,--,572.00,70694,490,平行录取二段
齐齐哈尔大学,普通本科,573.00,--,547.00,98072,490,平行录取二段
湖北大学,普通本科,589.00,--,588.00,53141,588,平行录取一段
湖北大学,普通本科,--,--,566.00,77285,490,平行录取二段
长江大学,普通本科,--,--,588.00,53141,588,平行录取一段
长江大学,普通本科,--,--,559.00,85053,490,平行录取二段
江汉大学,普通本科,--,--,588.00,53141,588,平行录取一段
江汉大学,普通本科,--,--,570.00,72877,490,平行录取二段
湖北师范大学,普通本科,602.00,595.00,588.00,53141,588,平行录取一段
湖北师范大学,普通本科,--,--,569.00,73990,490,平行录取二段
牡丹江师范学院,普通本科,543.00,--,542.00,103416,490,平行录取二段
河南大学,普通本科,635.00,--,588.00,53141,588,平行录取一段
河南大学,普通本科,--,--,572.00,70694,490,平行录取二段
西藏民族大学,普通本科,--,--,--,--,--,--
福建师范大学,普通本科,624.00,604.00,591.00,49957,588,平行录取一段
福建师范大学,普通本科,--,--,574.00,68468,490,平行录取二段
洛阳师范学院,普通本科,574.00,--,550.00,94794,490,平行录取二段
南阳师范学院,普通本科,--,--,550.00,94794,490,平行录取二段
聊城大学,普通本科,--,--,563.00,80624,490,平行录取二段
内蒙古民族大学,普通本科,--,--,544.00,101293,490,平行录取二段
信阳学院,普通本科,--,--,--,--,--,--
曲阜师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
曲阜师范大学,普通本科,--,--,554.00,90427,490,平行录取二段
海南师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
海南师范大学,普通本科,595.00,580.00,570.00,72877,490,平行录取二段
