学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次,开设专业
大理大学,普通本科,593.00,--,588.00,53141,588,平行录取一段,学前教育 小学教育
大理大学,普通本科,--,--,558.00,86164,490,平行录取二段,学前教育 小学教育
陕西理工大学,普通本科,--,--,588.00,53141,588,平行录取一段,学前教育 教育技术学
陕西理工大学,普通本科,--,--,552.00,92541,490,平行录取二段,学前教育 教育技术学
陕西理工大学,普通本科,--,--,564.00,79493,344,平行录取三段,学前教育 教育技术学
青海民族大学,普通本科,554.00,538.00,522.00,124610,490,平行录取二段,学前教育
北华大学,普通本科,--,--,588.00,53141,588,平行录取一段,学前教育 教育技术学 小学教育
北华大学,普通本科,589.00,--,545.00,100206,490,平行录取二段,学前教育 教育技术学 小学教育
吉首大学,普通本科,--,--,602.00,39082,588,平行录取一段,学前教育 小学教育
吉首大学,普通本科,604.00,--,556.00,88305,490,平行录取二段,学前教育 小学教育
郑州商学院,普通本科,--,--,513.00,134025,490,平行录取二段,学前教育
郑州科技学院,普通本科,--,--,--,--,--,--,学前教育
江汉大学文理学院,独立学院,--,--,--,--,--,--,学前教育
湖南文理学院,普通本科,574.00,--,553.00,91440,490,平行录取二段,学前教育
佳木斯大学,普通本科,--,--,552.00,92541,490,平行录取二段,学前教育 教育技术学 小学教育
湖北工程学院,普通本科,--,--,554.00,90427,490,平行录取二段,学前教育 小学教育
成都大学,普通本科,586.00,569.00,560.00,83957,490,平行录取二段,学前教育 特殊教育 小学教育
哈尔滨学院,普通本科,571.00,555.00,548.00,96962,490,平行录取二段,学前教育 小学教育
成都文理学院,独立学院,--,--,511.00,136117,490,平行录取二段,学前教育
湖北科技学院,普通本科,--,--,554.00,90427,490,平行录取二段,学前教育 小学教育
湖北文理学院,普通本科,--,--,549.00,95883,490,平行录取二段,学前教育 科学教育 教育技术学
集美大学,普通本科,608.00,597.00,588.00,53141,588,平行录取一段,学前教育 教育技术学 小学教育
集美大学,普通本科,--,--,583.00,58692,490,平行录取二段,学前教育 教育技术学 小学教育
保山学院,普通本科,--,--,--,--,--,--,学前教育 艺术教育 教育技术学 小学教育
文山学院,普通本科,560.00,--,547.00,98072,490,平行录取二段,学前教育 教育技术学 小学教育
聊城大学东昌学院,独立学院,--,--,--,--,--,--,学前教育
莆田学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
潍坊理工学院,独立学院,--,--,--,--,--,--,学前教育
哈尔滨剑桥学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
临沂大学,普通本科,--,--,556.00,88305,490,平行录取二段,学前教育 科学教育 教育技术学 小学教育
青岛大学,普通本科,--,--,588.00,53141,588,平行录取一段,学前教育 教育技术学 小学教育
青岛大学,普通本科,--,--,583.00,58692,490,平行录取二段,学前教育 教育技术学 小学教育
南京审计学院金审学院,独立学院,--,--,--,--,--,--,学前教育
西安科技大学高新学院,普通本科,--,--,513.00,134025,490,平行录取二段,学前教育
贵州民族大学,普通本科,--,--,--,--,--,--,学前教育 教育技术学
贵州民族大学人文科技学院,普通本科,--,--,--,--,--,--,学前教育
泰山学院,普通本科,556.00,--,553.00,91440,490,平行录取二段,学前教育 小学教育
潍坊学院,普通本科,575.00,--,551.00,93653,490,平行录取二段,学前教育 特殊教育 教育技术学 小学教育
山东女子学院,普通本科,--,--,--,--,--,--,学前教育
中国矿业大学银川学院,独立学院,--,--,--,--,--,--,学前教育 小学教育
中华女子学院,普通本科,--,--,588.00,53141,588,平行录取一段,学前教育
中华女子学院,普通本科,582.00,--,490.00,156885,490,平行录取二段,学前教育
中华女子学院,普通本科,--,--,450.00,190100,344,平行录取三段,学前教育
北京联合大学,普通本科,--,--,588.00,53141,588,平行录取一段,学前教育 教育康复学 特殊教育 小学教育
北京联合大学,普通本科,--,--,577.00,65245,490,平行录取二段,学前教育 教育康复学 特殊教育 小学教育
河北北方学院,普通本科,--,--,588.00,53141,588,平行录取一段,学前教育
河北北方学院,普通本科,--,--,580.00,62030,490,平行录取二段,学前教育
衡水学院,普通本科,--,--,548.00,96962,490,平行录取二段,学前教育 小学教育
四川民族学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
华北理工大学轻工学院,独立学院,--,--,--,--,--,--,学前教育
南通大学,普通本科,611.00,586.00,571.00,71762,588,平行录取一段,学前教育 小学教育
南通大学,普通本科,--,--,571.00,71762,490,平行录取二段,学前教育 小学教育
广西外国语学院,普通本科,--,--,505.00,142217,490,平行录取二段,学前教育
山东协和学院,普通本科,--,--,490.00,156885,490,平行录取二段,学前教育
山东协和学院,普通本科,--,--,455.00,186498,344,平行录取三段,学前教育
郑州升达经贸管理学院,普通本科,--,--,--,--,--,--,学前教育
山西工商学院,普通本科,--,--,--,--,--,--,学前教育
商丘学院,独立学院,--,--,--,--,--,--,学前教育
四川文理学院,普通本科,--,--,--,--,--,--,学前教育 特殊教育 小学教育
北京吉利学院,普通本科,558.00,--,490.00,156885,490,平行录取二段,学前教育 小学教育
北京吉利学院,普通本科,507.00,--,386.00,223122,344,平行录取三段,学前教育 小学教育
南阳理工学院,普通本科,564.00,551.00,538.00,107751,490,平行录取二段,学前教育 小学教育
张家口学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
江西科技学院,普通本科,--,--,490.00,156885,490,平行录取二段,学前教育
江西科技学院,普通本科,--,--,344.00,234340,344,平行录取三段,学前教育
平顶山学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
萍乡学院,普通本科,567.00,--,490.00,156885,490,平行录取二段,学前教育 小学教育
萍乡学院,普通本科,--,--,495.00,152160,344,平行录取三段,学前教育 小学教育
景德镇学院,普通本科,--,--,490.00,156885,490,平行录取二段,学前教育 小学教育
景德镇学院,普通本科,--,--,479.00,166895,344,平行录取三段,学前教育 小学教育
新余学院,普通本科,--,--,553.00,91440,490,平行录取二段,学前教育
运城学院,普通本科,--,--,545.00,100206,490,平行录取二段,学前教育 小学教育
西昌学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
江西旅游商贸职业学院,专科（高职）,--,--,344.00,234340,344,平行录取三段,学前教育
肇庆学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
湖北理工学院,普通本科,565.00,558.27,555.00,89385,490,平行录取二段,学前教育 小学教育
河池学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
重庆文理学院,普通本科,575.00,--,557.00,87261,490,平行录取二段,学前教育 小学教育
西安文理学院,普通本科,--,--,553.00,91440,490,平行录取二段,学前教育 小学教育
昆明学院,普通本科,--,--,--,--,--,--,学前教育 特殊教育 教育技术学 小学教育
泰州学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
绥化学院,普通本科,--,--,--,--,--,--,学前教育 教育康复学 特殊教育
辽宁科技学院,普通本科,--,--,--,--,--,--,学前教育
贵阳学院,普通本科,--,--,--,--,--,--,学前教育 科学教育 小学教育
宜宾学院,普通本科,564.00,557.21,552.00,92541,490,平行录取二段,学前教育 小学教育
榆林学院,普通本科,--,--,--,--,--,--,学前教育
塔里木大学,普通本科,--,--,--,--,--,--,学前教育
山东广播电视大学,普通本科,--,--,--,--,--,--,学前教育
现代软件学院,其他,--,--,--,--,--,--,学前教育
郑州工商学院,普通本科,--,--,505.00,142217,490,平行录取二段,学前教育
商丘工学院,普通本科,--,--,494.00,153097,490,平行录取二段,学前教育 小学教育
宿迁学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
洛阳理工学院,普通本科,569.00,--,552.00,92541,490,平行录取二段,学前教育
常熟理工学院,普通本科,601.00,--,556.00,88305,490,平行录取二段,学前教育 小学教育
湖南涉外经济学院,普通本科,--,--,509.00,138225,490,平行录取二段,学前教育
湖南涉外经济学院,普通本科,--,--,550.00,94794,344,平行录取三段,学前教育
滨州学院,普通本科,--,--,551.00,93653,490,平行录取二段,学前教育 小学教育
集美大学诚毅学院,独立学院,570.00,547.00,536.00,109773,490,平行录取二段,学前教育
重庆人文科技学院,普通本科,554.00,--,503.00,144191,490,平行录取二段,学前教育
重庆人文科技学院,普通本科,--,--,551.00,93653,344,平行录取三段,学前教育
贵州工程应用技术学院,普通本科,557.00,555.50,553.00,91440,490,平行录取二段,学前教育 特殊教育 小学教育
呼伦贝尔学院,普通本科,--,549.00,549.00,95883,490,平行录取二段,学前教育 教育技术学
青岛滨海学院,普通本科,--,--,490.00,156885,490,平行录取二段,学前教育
青岛滨海学院,普通本科,481.00,--,406.00,215342,344,平行录取三段,学前教育
枣庄学院,普通本科,557.00,554.00,552.00,92541,490,平行录取二段,学前教育 小学教育
滁州学院,普通本科,--,--,561.00,82841,490,平行录取二段,学前教育 小学教育
海南热带海洋学院,普通本科,587.00,557.00,530.00,116093,490,平行录取二段,学前教育 小学教育
龙岩学院,普通本科,--,--,558.00,86164,490,平行录取二段,学前教育 小学教育
梧州学院,普通本科,559.00,--,547.00,98072,490,平行录取二段,学前教育 小学教育
丽水学院,普通本科,--,--,588.00,53141,588,平行录取一段,学前教育 小学教育
丽水学院,普通本科,--,--,490.00,156885,490,平行录取二段,学前教育 小学教育
丽水学院,普通本科,--,--,457.00,185025,344,平行录取三段,学前教育 小学教育
北部湾大学,普通本科,--,--,546.00,99147,490,平行录取二段,学前教育 小学教育
长治学院,普通本科,--,--,--,--,--,--,学前教育 教育技术学
贺州学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
商洛学院,普通本科,554.00,549.60,547.00,98072,490,平行录取二段,学前教育
安康学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
菏泽学院,普通本科,--,--,--,--,--,--,学前教育 特殊教育 小学教育
铜仁学院,普通本科,--,--,--,--,--,--,学前教育 艺术教育 特殊教育 教育技术学 小学教育
安顺学院,普通本科,--,--,--,--,--,--,学前教育 教育康复学 特殊教育
凯里学院,普通本科,--,--,--,--,--,--,学前教育 艺术教育 小学教育
兰州城市学院,普通本科,--,553.70,547.00,98072,490,平行录取二段,学前教育 教育技术学 小学教育
武汉体育学院体育科技学院,独立学院,--,--,--,--,--,--,学前教育
南京审计大学金审学院,其他,--,--,490.00,156885,490,平行录取二段,学前教育
北京美国英语语言学院,专科（高职）,--,--,--,--,--,--,学前教育
上海外国语大学贤达经济人文学院,独立学院,585.00,--,537.00,108765,490,平行录取二段,学前教育
河南大学民生学院,独立学院,--,--,528.00,118144,490,平行录取二段,学前教育
四川工商学院,普通本科,543.00,--,528.00,118144,490,平行录取二段,学前教育
荆楚理工学院,普通本科,566.00,557.90,551.00,93653,490,平行录取二段,学前教育 小学教育
荆楚理工学院,普通本科,537.00,497.84,476.00,169563,344,平行录取三段,学前教育 小学教育
亳州学院,普通本科,--,--,--,--,--,--,学前教育 小学教育
兴安职业技术学院,专科（高职）,--,--,--,--,--,--,学前教育 小学教育
呼和浩特职业学院,专科（高职）,--,--,--,--,--,--,学前教育
锡林郭勒职业学院,专科（高职）,--,--,--,--,--,--,学前教育
吕梁学院,普通本科,--,--,--,--,--,--,学前教育
山西应用科技学院,普通本科,524.00,--,489.00,157827,490,平行录取二段,学前教育
兰州文理学院,普通本科,--,--,--,--,--,--,学前教育
蚌埠学院,普通本科,--,--,554.00,90427,490,平行录取二段,学前教育 小学教育
池州学院,普通本科,--,--,564.00,79493,490,平行录取二段,学前教育
安徽新华学院,普通本科,--,--,--,--,--,--,学前教育
武夷学院,普通本科,566.00,560.50,555.00,89385,490,平行录取二段,学前教育 小学教育
新乡学院,普通本科,562.00,--,547.00,98072,490,平行录取二段,学前教育 小学教育
河南财政金融学院,普通本科,--,--,--,--,--,--,学前教育
武昌工学院,普通本科,545.00,518.72,490.00,156885,490,平行录取二段,学前教育
武昌工学院,普通本科,520.00,461.08,365.00,229573,344,平行录取三段,学前教育
长江大学文理学院,独立学院,--,--,--,--,--,--,学前教育
湖南女子学院,普通本科,558.00,--,550.00,94794,490,平行录取二段,学前教育
河北美术学院,普通本科,--,--,--,--,--,--,艺术教育
广州美术学院,普通本科,--,--,601.00,40056,588,平行录取一段,艺术教育
广州美术学院,普通本科,--,--,587.00,54216,490,平行录取二段,艺术教育
四川传媒学院,普通本科,--,--,--,--,--,--,艺术教育
河北农业大学,普通本科,--,--,--,--,--,--,艺术教育
厦门大学,普通本科,670.00,658.33,619.00,24442,588,平行录取一段,艺术教育
厦门大学,普通本科,670.00,658.33,652.00,6165,490,平行录取二段,艺术教育
云南艺术学院,普通本科,--,--,--,--,--,--,艺术教育
香港教育大学,普通本科,--,--,--,--,--,--,科学教育 小学教育
陇东学院,普通本科,--,--,--,--,--,--,科学教育
浙江外国语学院,普通本科,--,--,588.00,53141,588,平行录取一段,科学教育 小学教育
浙江外国语学院,普通本科,--,--,501.00,146165,490,平行录取二段,科学教育 小学教育
山东体育学院,普通本科,--,--,--,--,--,--,特殊教育 教育技术学
滨州医学院,普通本科,--,--,588.00,53141,588,平行录取一段,特殊教育
滨州医学院,普通本科,--,--,570.00,72877,490,平行录取二段,特殊教育
济南大学,普通本科,--,--,588.00,53141,588,平行录取一段,特殊教育
济南大学,普通本科,--,--,584.00,57599,490,平行录取二段,特殊教育
北京语言大学,普通本科,--,--,629.00,17343,588,平行录取一段,特殊教育
长春大学,普通本科,--,--,588.00,53141,588,平行录取一段,特殊教育 教育技术学
长春大学,普通本科,--,--,490.00,156885,490,平行录取二段,特殊教育 教育技术学
长春大学,普通本科,--,--,466.00,177960,344,平行录取三段,特殊教育 教育技术学
西安体育学院,普通本科,--,--,554.00,90427,490,平行录取二段,特殊教育
赤峰学院,普通本科,--,--,--,--,--,--,教育技术学 小学教育
宁夏大学,普通本科,--,--,588.00,53141,588,平行录取一段,教育技术学 小学教育
江南大学,普通本科,646.00,634.00,627.00,18652,588,平行录取一段,教育技术学 小学教育
天津外国语大学,普通本科,607.00,--,589.00,52072,588,平行录取一段,教育技术学
燕山大学,普通本科,624.00,--,598.00,42923,588,平行录取一段,教育技术学
石家庄铁道大学,普通本科,605.00,--,588.00,53141,588,平行录取一段,教育技术学
石家庄铁道大学,普通本科,--,--,578.00,64173,490,平行录取二段,教育技术学
广西大学,普通本科,--,--,607.00,34501,588,平行录取一段,教育技术学
南京大学,普通本科,--,--,667.00,2369,588,平行录取一段,教育技术学
武汉理工大学,普通本科,640.00,634.65,624.00,20669,588,平行录取一段,教育技术学
上海外国语大学,普通本科,--,--,652.00,6165,588,平行录取一段,教育技术学
杭州电子科技大学,普通本科,--,--,608.00,33571,588,平行录取一段,教育技术学
南京邮电大学,普通本科,636.00,627.50,620.00,23678,588,平行录取一段,教育技术学
江苏大学,普通本科,604.00,--,571.00,71762,588,平行录取一段,教育技术学
江西农业大学,普通本科,--,--,588.00,53141,588,平行录取一段,教育技术学
江西农业大学,普通本科,--,--,560.00,83957,490,平行录取二段,教育技术学
南昌航空大学,普通本科,601.00,581.00,568.00,75133,588,平行录取一段,教育技术学
南昌航空大学,普通本科,--,--,568.00,75133,490,平行录取二段,教育技术学
九江学院,普通本科,--,--,490.00,156885,490,平行录取二段,教育技术学
九江学院,普通本科,--,--,483.00,163370,344,平行录取三段,教育技术学
沈阳体育学院,普通本科,--,--,--,--,--,--,教育技术学
浙江海洋大学,普通本科,--,--,588.00,53141,588,平行录取一段,教育技术学 小学教育
浙江海洋大学,普通本科,--,--,562.00,81741,490,平行录取二段,教育技术学 小学教育
中北大学,普通本科,591.00,587.00,583.00,58692,588,平行录取一段,教育技术学
中北大学,普通本科,--,--,577.00,65245,490,平行录取二段,教育技术学
山西大同大学,普通本科,--,--,552.00,92541,490,平行录取二段,教育技术学 小学教育
深圳大学,普通本科,645.00,638.00,630.00,16683,588,平行录取一段,教育技术学
长春工业大学,普通本科,--,--,544.00,101293,490,平行录取二段,教育技术学
南华大学,普通本科,--,--,588.00,53141,588,平行录取一段,教育技术学
南华大学,普通本科,--,--,561.00,82841,490,平行录取二段,教育技术学
湖南科技学院,普通本科,--,--,555.00,89385,490,平行录取二段,教育技术学
贵州大学,普通本科,625.00,--,606.00,35389,588,平行录取一段,教育技术学
武汉纺织大学,普通本科,601.00,594.00,588.00,53141,588,平行录取一段,教育技术学
武汉纺织大学,普通本科,587.00,573.00,563.00,80624,490,平行录取二段,教育技术学
东北石油大学,普通本科,576.00,574.00,572.00,70694,588,平行录取一段,教育技术学
东北石油大学,普通本科,--,--,572.00,70694,490,平行录取二段,教育技术学
武汉体育学院,普通本科,--,--,556.00,88305,490,平行录取二段,教育技术学
西北民族大学,普通本科,570.00,559.00,548.00,96962,490,平行录取二段,教育技术学
延安大学西安创新学院,独立学院,--,--,--,--,--,--,小学教育
郑州财经学院,普通本科,--,--,--,--,--,--,小学教育
西安翻译学院,普通本科,--,--,490.00,156885,490,平行录取二段,小学教育
西安翻译学院,普通本科,--,--,410.00,213525,344,平行录取三段,小学教育
辽东学院,普通本科,--,--,--,--,--,--,小学教育
重庆三峡学院,普通本科,572.00,560.73,551.00,93653,490,平行录取二段,小学教育
大连大学,普通本科,--,--,588.00,53141,588,平行录取一段,小学教育
大连大学,普通本科,602.00,582.00,566.00,77285,490,平行录取二段,小学教育
河北科技学院,普通本科,--,--,509.00,138225,490,平行录取二段,小学教育
河北科技学院,普通本科,--,--,550.00,94794,344,平行录取三段,小学教育
陕西服装工程学院,普通本科,--,485.00,359.00,231107,490,平行录取二段,小学教育
陕西服装工程学院,普通本科,--,--,344.00,234340,344,平行录取三段,小学教育
东莞理工学院,普通本科,563.00,563.00,563.00,80624,490,平行录取二段,小学教育
黑龙江外国语学院,普通本科,530.00,--,500.00,147173,490,平行录取二段,小学教育
合肥学院,普通本科,--,--,550.00,94794,490,平行录取二段,小学教育
西安外事学院,普通本科,--,--,490.00,156885,490,平行录取二段,小学教育
西安外事学院,普通本科,499.00,414.00,329.00,234340,344,平行录取三段,小学教育
燕京理工学院,普通本科,--,--,513.00,134025,490,平行录取二段,小学教育
燕京理工学院,普通本科,--,--,551.00,93653,344,平行录取三段,小学教育
湖南城市学院,普通本科,--,557.00,552.00,92541,490,平行录取二段,小学教育
江西应用科技学院,普通本科,--,--,490.00,156885,490,平行录取二段,小学教育
江西应用科技学院,普通本科,--,--,344.00,234340,344,平行录取三段,小学教育
湖北民族大学,普通本科,--,--,551.00,93653,490,平行录取二段,小学教育
